date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:11	73859/73859	---M-Z	200	added ('OK')	text/html	etag:W/%22cd4987a6438d8e1bbcefc2ac045dc818--gzip%22	https://www.pentecostal.thelukedavis.com/	C:/My%20Web%20Sites/hello/www.pentecostal.thelukedavis.com/index.html	(from )
20:01:11	391/391	---M-Z	200	added ('OK')	text/plain	date:Sun,%2012%20Jan%202025%2001:01:10%20GMT	https://www.pentecostal.thelukedavis.com/robots.txt		(from )
20:01:13	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/hello/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.pentecostal.thelukedavis.com/)
20:01:13	17373/17373	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2012%20Jan%202025%2001:01:11%20GMT	http://use.typekit.net/ik/xRc47tpi-u118U8WtuTPn8hPh-CGlPkSVTN35544L8qfe1jJXnX1IyvhF2jtFRZLFRSXZ2B8jQm8FAZcwRShFeIaw2wajQFRe6MKBco8iA9l-eBySku1ScNXZWFnOWs8pYb7f6RblMJbMg6IJMJ7f6R9lMJbMg6YJMJ7f6RslMJbMg65JMJ7f6RmlMJbMg6sJMHbMLExlOGe.js	C:/My%20Web%20Sites/hello/use.typekit.net/ik/xRc47tpi-u118U8WtuTPn8hPh-CGlPkSVTN35544L8qfe1jJXnX1IyvhF2jtFRZLFRSXZ2B8jQm8FAZcwRShFeIaw2wajQFRe6MKBco8iA9l-eBySku1ScNXZWFnOWs8pYb7f6RblMJbMg6IJMJ7f6R9lMJbMg6YJMJ7f6RslMJbMg65JMJ7f6RmlMJbMg6sJMH	(from https://www.pentecostal.thelukedavis.com/)
20:01:15	45776/45776	---M-Z	200	added ('OK')	text/javascript	etag:%22507efb5443c227a35efe41d4ae543035%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-4510b020b3910b3ed001-min.en-US.js	C:/My%20Web%20Sites/hello/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-4510b020b3910b3ed001-min.en-US.js	(from https://www.pentecostal.thelukedavis.com/)
20:01:16	89739/89739	---M-Z	200	added ('OK')	text/javascript	etag:%22c26cd9039436e210cc1ab908d060ec0e%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-907dfe7701e90c1e5cbd-min.en-US.js	C:/My%20Web%20Sites/hello/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-907dfe7701e90c1e5cbd-min.en-US.js	(from https://www.pentecostal.thelukedavis.com/)
20:01:18	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/hello/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.pentecostal.thelukedavis.com/)
20:01:29	245728/245728	---M-Z	200	added ('OK')	text/javascript	etag:%22e99f3bf72eaae471251ad87586359fe8%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	C:/My%20Web%20Sites/hello/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	(from https://www.pentecostal.thelukedavis.com/)
20:01:33	1196442/1196442	---M-Z	200	added ('OK')	text/javascript	etag:%2250d4789a0cb66d279781e1b02e14d541%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6c569122bfa66a51a056-min.en-US.js	C:/My%20Web%20Sites/hello/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6c569122bfa66a51a056-min.en-US.js	(from https://www.pentecostal.thelukedavis.com/)
20:01:34	32460/32460	---M-Z	200	added ('OK')	text/css	etag:%22afcab3a3d1d764e56b53c2a436eab071%22	http://assets.squarespace.com/universal/styles-compressed/commerce-3521e0fe0f49a15e7694-min.en-US.css	C:/My%20Web%20Sites/hello/assets.squarespace.com/universal/styles-compressed/commerce-3521e0fe0f49a15e7694-min.en-US.css	(from https://www.pentecostal.thelukedavis.com/)
